Event,nsta,MW,depth,ev_lla,ev_lon,Networks,Stations
2013.304.12.02,11,6.3,14.8,23.5436,121.458,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D'],"['FN07C', 'FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C', 'J61C']"
2013.327.07.48,11,6.5,370.1,-17.1613,-176.5188,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D'],"['FN07C', 'FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C', 'J61C']"
2013.329.06.27,11,6.9,10,-53.9716,-54.9648,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D'],"['FN07C', 'FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C', 'J61C']"
2014.013.04.01,10,6.3,30.9,18.9922,-66.8685,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D'],"['FN07C', 'FN12C', 'J26C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C', 'J61C']"
2014.020.02.52,11,6.3,32.9,-40.6371,175.7893,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D'],"['FN07C', 'FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C', 'J61C']"
2014.043.09.19,11,6.9,4.1,35.8767,82.5807,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D'],"['FN07C', 'FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C', 'J61C']"
2014.093.02.43,13,7.7,12,-20.5887,-70.4905,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' 'YO' 'YO'],"['FN07C', 'FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C', 'J61C', 'A06B', 'X01']"
2014.103.12.36,10,7.4,34.2,-11.4669,161.9601,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D'],"['FN07C', 'FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C']"
2014.108.14.27,12,7.3,24.4,17.3211,-100.9938,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' 'YO'],"['FN07C', 'FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C', 'J61C', 'X06']"
2014.109.13.28,10,7.5,39.8,-6.708,154.992,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D'],"['FN07C', 'FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C']"
2014.144.09.25,11,6.9,8.2,40.2763,25.3698,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'YO' 'YO' 'YO' 'YO'],"['FN07C', 'FN12C', 'J26C', 'J41C', 'J42C', 'J59C', 'J61C', 'A06B', 'X01', 'X06', 'X09']"
2014.282.02.14,11,7,4.2,-32.2989,-110.9241,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'YO' 'YO' 'YO' 'YO'],"['G03D', 'G04D', 'G26D', 'G34D', 'G37D', 'J20D', 'J27D', 'A06B', 'X01', 'X06', 'X09']"
