Event,nsta,MW,depth,ev_lla,ev_lon,Networks,Stations
2011.070.05.51,15,6.8,33,37.31,142.24,"['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7A' '7A' '7A' '7A'
 '7A']","['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS23', 'OBS24', 'OBS32', 'W03', 'W05', 'W08', 'W09', 'W10']"
2011.070.05.54,16,6.3,35,37.5085,141.3588,"['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7A' '7A' '7A'
 '7A' '7A']","['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS23', 'OBS24', 'OBS32', 'W03', 'W05', 'W08', 'W09', 'W10']"
2011.070.05.58,17,6.3,9.5,37.6702,142.0447,"['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7A' '7A' '7A'
 '7A' '7A' '7A']","['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS23', 'OBS24', 'OBS32', 'W03', 'W05', 'W06', 'W08', 'W09', 'W10']"
2011.070.06.06,16,6.3,19.5,39.0121,142.4312,"['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7A' '7A' '7A' '7A'
 '7A' '7A']","['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS23', 'OBS24', 'OBS32', 'W03', 'W04', 'W05', 'W06', 'W09', 'W10']"
2011.070.06.15,14,7.9,25.4,36.2274,141.088,['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7A' '7A' '7A' '7A' '7A'],"['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS24', 'OBS32', 'W03', 'W04', 'W05', 'W06', 'W08']"
2011.070.06.25,17,7.6,19.8,38.051,144.6297,"['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7A' '7A' '7A' '7A'
 '7A' '7A' '7A']","['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS24', 'OBS32', 'W03', 'W04', 'W05', 'W06', 'W08', 'W09', 'W10']"
2011.081.09.44,15,6.3,19.2,39.8638,143.5386,"['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7A' '7A' '7A'
 '7A']","['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS23', 'OBS24', 'OBS32', 'W04', 'W05', 'W06', 'W09']"
2011.175.03.09,11,7.3,49.8,51.9805,-171.8201,['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D'],"['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS23', 'OBS24', 'OBS32']"
2011.187.19.03,10,7.6,25.4,-29.3073,-176.2572,['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D'],"['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS24', 'OBS32']"
2011.191.00.57,11,7,24.7,38.0553,143.3016,['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D'],"['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS23', 'OBS24', 'OBS32']"
2011.232.16.55,12,7.1,34.6,-18.2774,168.067,['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7D'],"['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS23', 'OBS24', 'OBS32', 'FN07A']"
2011.232.18.19,13,7,31.5,-18.3312,168.2258,['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7D' '7D'],"['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS23', 'OBS24', 'OBS32', 'FN07A', 'FN14A']"
2011.236.17.46,13,7,149.3,-7.6203,-74.538,['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7D' '7D'],"['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS23', 'OBS24', 'OBS32', 'FN07A', 'FN14A']"
2011.242.06.57,13,6.9,467.2,-6.3592,126.7502,['2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '2D' '7D' '7D'],"['OBS03', 'OBS06', 'OBS10', 'OBS15', 'OBS17', 'OBS18', 'OBS19', 'OBS20', 'OBS23', 'OBS24', 'OBS32', 'FN07A', 'FN14A']"
2011.345.01.47,11,6.5,65.4,17.9024,-99.9298,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'ZA' 'ZA' 'ZA' 'ZA'],"['FN07A', 'FN14A', 'G03A', 'J50A', 'J55A', 'M07A', 'M08A', 'B02', 'B04', 'B05', 'B24']"
2012.024.00.52,12,6.3,579,-24.8986,178.5999,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['FN07A', 'FN14A', 'G03A', 'J50A', 'J55A', 'M07A', 'M08A', 'B01', 'B02', 'B04', 'B05', 'B24']"
2012.033.13.34,16,7,27.3,-17.7532,167.1814,"['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA'
 'ZA' 'ZA']","['FN07A', 'FN14A', 'G03A', 'J50A', 'J55A', 'M07A', 'M08A', 'B01', 'B09', 'B10', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.074.09.08,13,7,19.2,40.842,145.0154,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['FN07A', 'FN14A', 'G03A', 'J50A', 'J55A', 'M07A', 'M08A', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.074.21.13,11,6.2,46.6,-5.5834,151.0915,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'ZA' 'ZA' 'ZA' 'ZA'],"['FN07A', 'FN14A', 'G03A', 'J50A', 'J55A', 'M07A', 'M08A', 'B01', 'B02', 'B06', 'B24']"
2012.080.17.56,13,6.3,69.2,-3.8333,140.263,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['FN07A', 'FN14A', 'G03A', 'J50A', 'J55A', 'M07A', 'M08A', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.080.18.02,14,7.5,19.4,16.4734,-98.3694,['7D' '7D' '7D' '7D' '7D' 'XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['FN07A', 'FN14A', 'J50A', 'M07A', 'M08A', 'B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B04', 'B06', 'B24']"
2012.086.18.12,15,6,10,10.0652,-104.1936,"['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA'
 'ZA']","['FN07A', 'FN14A', 'G03A', 'J50A', 'J55A', 'M07A', 'M08A', 'B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B06', 'B24']"
2012.087.11.00,11,6,14.4,39.8566,142.2045,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'ZA' 'ZA' 'ZA' 'ZA'],"['FN07A', 'FN14A', 'G03A', 'J50A', 'J55A', 'M07A', 'M08A', 'B01', 'B02', 'B06', 'B24']"
2012.103.07.15,10,7,10,28.8386,-113.127,['XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.135.10.00,11,6.3,108.7,-17.7968,-69.7926,['7D' '7D' '7D' '7D' '7D' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['FN07A', 'J50A', 'J55A', 'M07A', 'M08A', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.227.02.59,10,7.7,590.7,49.75,145.3057,['XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.231.09.41,10,6.3,27.9,-1.3518,120.1275,['XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.240.04.37,11,7.3,16,12.1318,-88.6604,['7D' 'XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['G30B', 'B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.247.18.23,13,6.3,34.8,-10.677,113.9646,['7D' '7D' '7D' 'XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['G30B', 'J11B', 'M11B', 'B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.249.13.09,11,6,27,-12.5373,166.5032,['7D' '7D' '7D' 'XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA'],"['G30B', 'J11B', 'M11B', 'B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B06', 'B24']"
2012.253.05.39,11,6,54,49.2976,155.6955,['7D' '7D' '7D' 'XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA'],"['G30B', 'J11B', 'M11B', 'B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B06', 'B24']"
2012.258.04.51,10,6.3,23.3,-3.3008,100.6703,['XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
