-93.9827	2.0337	978057.4	NaN	NaN	2780.149	0.0003	2.66480576165
-93.9842	2.042	978057.2	-13	5	2679.604	0.0503	1.66892466766
-93.9857	2.0505	978056.9	-12.5	5.2	2607.013	0.1003	0.928071347285
-93.9871	2.0591	978057.3	-31.9	-14	2145.502	0.1503	0.511331384906
-93.9934	2.0639	978094.3	-78	-23.1	2239.655	0.2003	0.741652200273
-94.0026	2.0658	978125.4	-82.7	3.3	2569.851	0.2503	1.31235821757
-94.0119	2.0679	978126.8	-83.3	4.1	2610.943	0.3003	1.8113032004
-94.0212	2.07	978127.4	-83.5	4.4	2694.744	0.3503	2.25130540117
-94.0306	2.072	978127.6	-83.5	4.7	2711.758	0.4003	2.53969372866
-94.0399	2.074	978127.6	-83.5	4.6	2706.612	0.4503	2.77492781156
-94.0493	2.076	978128.4	-83.7	5.2	2682.457	0.5003	2.83439861565
-94.0586	2.078	978128.5	-82.8	6.2	2643.481	0.5503	2.6705041512
-94.0678	2.08	978127.7	-82.4	5.8	2683.617	0.6003	2.07774006419
-94.0771	2.0821	978127.9	-82.5	5.9	2713.184	0.6503	1.41093672041
-94.0863	2.0841	978127.3	-82	5.9	2753.09	0.7003	0.804899993597
-94.0954	2.0862	978126.2	-76.6	10.1	2831.112	0.7503	0.37599334125
-94.1027	2.0877	978114.9	-46.3	29.1	2850.552	0.8003	0.240997828233
-94.1062	2.0881	978081.1	-29.5	12	2559.823	0.8503	0.198541663793
-94.1095	2.0885	978072	-32.6	-0.1	480.848	0.9003	0.153718482144
-94.1139	2.0896	978080.7	-56.5	-15.4	-99	0.9503	0.145315943352
-94.1218	2.0924	978108.3	-73.7	-4.9	-99	1.0003	0.118170010006
-94.1302	2.0954	978117.6	-75.4	2.6	-99	1.0503	-0.278552237304
-94.1385	2.0984	978117.1	-58.7	18.8	-99	1.1003	-0.958729683274
-94.1417	2.0978	978086.7	-14.6	32.5	-99	1.1503	-1.29458638902
-94.1425	2.0978	978049.5	-8.7	1.1	-99	1.2003	-1.37400628555
-94.1434	2.098	978049.1	2.4	11.9	-99	1.2503	-1.46060603854
-94.1428	2.0972	978039.1	4.5	4	-99	1.3003	-1.42305343579
-94.1428	2.0972	978039.9	-0.1	0.2	-99	1.3503	-1.42305343579
-94.1429	2.0973	978040.9	-0.1	1.2	-99	1.4003	-1.43037153186
-94.1428	2.0973	978041.2	0	1.6	-99	1.4503	-1.42008704617
-94.1428	2.0973	978041.3	0.1	1.8	-99	1.5003	-1.42008704617
-94.1428	2.0973	978040.9	-0	1.3	-99	1.5503	-1.42008704617
-94.1428	2.0973	978040.9	0	1.4	-99	1.6003	-1.42008704617
-94.1428	2.0974	978041.2	-0.1	1.5	-99	1.6503	-1.41707746922
-94.1428	2.0974	978041.2	-0.2	1.4	-99	1.7003	-1.41707746922
-94.1428	2.0975	978041.4	-0	1.8	-99	1.7503	-1.41402497383
-94.1427	2.0975	978041.1	-0.1	1.4	-99	1.8003	-1.40378203633
-94.1428	2.0975	978041.4	0.1	1.9	-99	1.8503	-1.41402497383
-94.1427	2.0976	978040.2	0	0.7	-99	1.9003	-1.40068465231
-94.1427	2.0977	978040.4	0.1	0.9	-99	1.9503	-1.397544904
-94.1426	2.0978	978040.5	0.2	1.1	-99	2.0003	-1.38416068851
-94.1426	2.0978	978040.8	0	1.2	-99	2.0503	-1.38416068851
-94.1426	2.0979	978041.1	0	1.5	-99	2.1003	-1.38093492063
-94.1426	2.098	978040.8	0.1	1.3	-99	2.1503	-1.37766761619
-94.1425	2.0981	978040.4	0.1	0.9	-99	2.2003	-1.36419867263
-94.1425	2.0982	978040.8	0.1	1.3	-99	2.2503	-1.36084715658
-94.1425	2.0977	978041.5	-9.8	-7.9	-99	2.3003	-1.37719227509
-94.1433	2.0964	978046.8	-8.4	-1.1	-99	2.3503	-1.4969507568
-94.1442	2.0956	978050.4	-8.7	2.1	-99	2.4003	-1.61158134342
-94.145	2.0945	978049.7	-7.2	2.9	-99	2.4503	-1.71956064163
-94.1459	2.0933	978049.4	-10.7	-0.9	-99	2.5003	-1.83491075578
-94.1472	2.0933	978052.6	-14.5	-1.5	-99	2.5503	-1.98212897022
-94.1489	2.0925	978055.6	-9.8	6.2	-78.72	2.6003	-2.18340325949
-94.1474	2.0928	978035.4	28.6	24.4	1494.319	2.6503	-2.00895275058
-94.1425	2.0944	978004.3	56.4	21.1	2828.447	2.7003	-1.45711375285
-94.1353	2.0964	977980.4	65.9	6.7	2828.867	2.7503	-0.706745719377
-94.128	2.0985	977975.1	66.4	2	2837.109	2.8003	-0.0208322575253
-94.1206	2.1006	977974.9	66.6	1.9	2841.723	2.8503	0.372816631689
-94.1133	2.1027	977975.2	66.6	2.1	2844.77	2.9003	0.48897965629
-94.1059	2.1047	977975.8	67	3.1	2856.605	2.9503	0.65679484355
-94.0985	2.1066	977975.5	67.7	3.5	2865.605	3.0003	0.863418079921
-94.091	2.1085	977976.1	67.9	4.4	2844.449	3.0503	1.27704220307
-94.0834	2.1104	977976.8	68.3	5.4	2693.316	3.1003	2.06578704498
-94.0758	2.1124	977977.1	68.6	6	2629.247	3.1503	2.97066221999
-94.0683	2.1144	977977.6	68.3	6.2	2592.499	3.2003	3.86776796684
-94.0607	2.1165	977978.2	68.1	6.5	2636.037	3.2503	4.74750341837
-94.0533	2.1186	977978.6	67.4	6.2	2657.07	3.3003	5.30364023565
-94.0458	2.1206	977978.6	68.1	6.9	2623.813	3.3503	5.65594385351
-94.0382	2.1226	977977.7	68.6	6.5	2607.469	3.4003	5.83965621778
-94.0306	2.1246	977978.2	68.7	7.1	2587.905	3.4503	5.7985898381
-94.0231	2.1265	977979.1	57.2	-3.5	2079.495	3.5003	5.65280942351
-94.0216	2.1327	978027.6	-19.4	-31.6	2125.394	3.5503	5.94605189333
-94.0254	2.1408	978080.7	-32	8.8	2597.191	3.6003	6.39089213076
-94.029	2.1491	978081.8	-33.2	8.7	2555.946	3.6503	6.57280132498
-94.0328	2.1573	978084.5	-34.2	10.4	2527.555	3.7003	6.59777966394
-94.0367	2.1655	978085.4	-34.3	11.1	2486.858	3.7503	6.47870449402
-94.0405	2.1738	978085.7	-34.4	11.2	2543.772	3.8003	6.22380905971
-94.0444	2.1821	978085.2	-34.1	11	2706.156	3.8503	6.05361473146
-94.0482	2.1903	978084.4	-33.9	10.3	2634.276	3.9003	5.89925155075
-94.052	2.1986	978083.7	-33.1	10.3	2532.787	3.9503	5.79724133924
-94.0557	2.2067	978082.6	-32.6	9.7	2705.314	4.0003	5.68165754061
-94.0593	2.2147	978081.7	-31.8	9.4	2773.232	4.0503	5.61778076226
-94.0628	2.2227	978080.9	-31.8	8.7	2726.956	4.1003	5.63808283723
-94.0664	2.2307	978081.4	-32.3	8.6	2672.624	4.1503	5.67865478059
-94.0701	2.2387	978082.8	-32.9	9.4	2599.58	4.2003	5.7601745386
-94.0737	2.2465	978083.9	-32.8	10.5	2571.718	4.2503	5.89411331521
-94.0774	2.2545	978084.5	-32.8	11.1	2536.645	4.3003	6.15798568356
-94.0811	2.2625	978084.9	-32.8	11.4	2490.824	4.3503	6.55339407883
-94.0848	2.2705	978085.3	-32.7	11.8	2503.626	4.4003	7.05695834482
-94.0884	2.2786	978084.8	-32.4	11.6	2494.509	4.4503	7.55456937784
-94.0921	2.2867	978084.1	-32.7	10.5	2627.63	4.5003	7.97661324513
-94.0957	2.2948	978083.4	-32.5	9.9	2677.315	4.5503	8.07705871722
-94.0994	2.3029	978082.1	-32.2	8.9	2700.738	4.6003	7.79063119189
-94.103	2.311	978081.2	-32.1	7.9	2638.234	4.6503	7.21032354619
-94.1066	2.3191	978081	-32.2	7.7	2585.099	4.7003	6.3374729265
-94.1102	2.3272	978081	-32.3	7.5	2558.959	4.7503	5.57973242811
-94.1138	2.3353	978080.9	-31.9	7.7	2655.604	4.8003	5.09138865889
-94.1174	2.3436	978080.8	-32.3	7.2	2762.384	4.8503	4.83225271459
-94.1211	2.3517	978081.8	-33.1	7.4	2678.779	4.9003	4.75867794639
-94.1248	2.3599	978083.4	-33.2	8.8	2498.771	4.9503	4.87093814105
-94.1285	2.3681	978084.1	-33	9.6	2476.567	5.0003	5.20016197493
-94.1322	2.3763	978084.5	-33	10	2498.169	5.0503	5.62951206986
-94.1359	2.3845	978084.4	-32.9	9.8	2576.884	5.1003	6.08134040906
-94.1396	2.3927	978084.1	-32.9	9.5	2667.106	5.1503	6.5914212768
-94.1433	2.4009	978084	-33.5	8.8	2717.493	5.2003	7.2282792333
-94.1471	2.409	978084.8	-34.2	8.8	2674.146	5.2503	7.82545856249
-94.151	2.4171	978085.8	-34.1	9.9	2656.361	5.3003	8.39916358693
-94.1548	2.4252	978086.5	-33.5	11	2500.7	5.3503	8.94266046159
-94.1585	2.4333	978086.7	-33.5	11.3	2410.297	5.4003	9.4342560107
-94.1623	2.4413	978087.8	-33.1	12.7	2594.355	5.4503	9.91960255676
-94.166	2.4493	978088.4	-33.3	13	2636.243	5.5003	10.5219575015
-94.1697	2.4573	978089.4	-33.1	14.1	2488.161	5.5503	11.2101251714
-94.1734	2.4653	978090.5	-33.1	15.2	2434.206	5.6003	11.8642423582
-94.1771	2.4733	978091.5	-33	16.2	2413.04	5.6503	12.4614867015
-94.1808	2.4812	978092.6	-32.8	17.5	2387.045	5.7003	12.8582368566
-94.1844	2.4891	978093	-32.3	18.3	2343.525	5.7503	13.0516454393
-94.1881	2.4969	978092.4	-32.5	17.5	2408.64	5.8003	12.9760680835
-94.1917	2.5048	978092.2	-32.4	17.3	2409.947	5.8503	12.6631949175
-94.1953	2.5127	978091.6	-31.8	17.2	2453.362	5.9003	12.3083291778
-94.1988	2.5206	978090.4	-31.8	15.9	2498.785	5.9503	11.9414080271
-94.2024	2.5286	978090.3	-32.1	15.5	2476.542	6.0003	11.7146533436
-94.206	2.5365	978090.4	-32.2	15.5	2452.116	6.0503	11.7119457394
-94.2096	2.5445	978090.5	-31.8	15.9	2443.331	6.1003	11.8574819824
-94.2132	2.5525	978089.9	-31.4	15.6	2452.656	6.1503	12.0446752127
-94.2167	2.5605	978089.4	-31.3	15.1	2469.032	6.2003	12.220311852
-94.2202	2.5686	978089.6	-30.7	15.9	2465.797	6.2503	12.3012563657
-94.2236	2.5767	978089.3	-30.5	15.7	2473.429	6.3003	12.2859904094
-94.227	2.5848	978089.8	-30.4	16.2	2367.261	6.3503	12.1726900535
-94.2304	2.5929	978090.2	-30.2	16.7	2329.904	6.4003	12.0892506182
-94.2338	2.601	978090.3	-30.5	16.5	2431.85	6.4503	12.1403669773
-94.2373	2.6091	978091	-31.4	16.2	2439.426	6.5003	12.1029935626
-94.2408	2.6172	978091.7	-31.8	16.4	2383.901	6.5503	11.9099687302
-94.2445	2.6252	978091.8	-32.6	15.6	2490.046	6.6003	11.5589272567
-94.2481	2.6332	978091.8	-32.9	15.3	2503.789	6.6503	10.9417409749
-94.2518	2.6412	978090.8	-32.5	14.7	2459.187	6.7003	10.1610501185
-94.2555	2.6492	978089.7	-32.7	13.3	2615.71	6.7503	9.22418041811
-94.2591	2.6573	978088.6	-32.5	12.3	2770.874	6.8003	8.26228069734
-94.2628	2.6653	978087.7	-32.8	11.1	2739.411	6.8503	7.5861246065
-94.2665	2.6733	978088.4	-33.8	10.7	2665.423	6.9003	7.03797689379
-94.2703	2.6812	978089.6	-33.9	11.8	2615.385	6.9503	6.67564976325
-94.2741	2.6892	978090	-33.6	12.4	2595.26	7.0003	6.43111939174
-94.2779	2.6971	978090.5	-33.5	12.9	2586.862	7.0503	6.31701144986
-94.2816	2.7049	978090.8	-33.3	13.3	2506.772	7.1003	6.34067197306
-94.2854	2.7127	978090.8	-33	13.6	2509.238	7.1503	6.45457098366
-94.289	2.7205	978090.3	-32.8	13.2	2578.605	7.2003	6.76634017162
-94.2927	2.7284	978089.9	-32.5	13	2588.506	7.2503	7.29436324419
-94.2963	2.7364	978089.6	-32.2	12.9	2569.677	7.3003	8.03921756315
